case,task,subtask,score,value,alg_number,alg_name,phase
70,braintumor,BRATS_L3,HSD,0.9320242,1,BCVuniandes,1
71,braintumor,BRATS_L1,DCS,0.684103188897129,1,BCVuniandes,1
71,braintumor,BRATS_L1,HSD,0.80826277,1,BCVuniandes,1
72,braintumor,BRATS_L1,DCS,0.75639730860538,1,BCVuniandes,1
72,braintumor,BRATS_L2,DCS,0.142159122337974,1,BCVuniandes,1
72,braintumor,BRATS_L1,HSD,0.9172127,1,BCVuniandes,1
72,braintumor,BRATS_L2,HSD,0.364183,1,BCVuniandes,1
73,braintumor,BRATS_L1,DCS,0.748181083265966,1,BCVuniandes,1
73,braintumor,BRATS_L2,DCS,0.153859481937105,1,BCVuniandes,1
73,braintumor,BRATS_L1,HSD,0.93060964,1,BCVuniandes,1
73,braintumor,BRATS_L2,HSD,0.37967443,1,BCVuniandes,1
74,braintumor,BRATS_L1,DCS,0.724043348997794,1,BCVuniandes,1
74,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
74,braintumor,BRATS_L1,HSD,0.97237086,1,BCVuniandes,1
74,braintumor,BRATS_L2,HSD,0.3234259,1,BCVuniandes,1
75,braintumor,BRATS_L1,DCS,0.880426209091538,1,BCVuniandes,1
75,braintumor,BRATS_L1,HSD,0.97393733,1,BCVuniandes,1
76,braintumor,BRATS_L1,DCS,0.946795589803106,1,BCVuniandes,1
76,braintumor,BRATS_L2,DCS,0.622720108083765,1,BCVuniandes,1
76,braintumor,BRATS_L3,DCS,0.823029308673279,1,BCVuniandes,1
76,braintumor,BRATS_L1,HSD,0.99935156,1,BCVuniandes,1
76,braintumor,BRATS_L2,HSD,0.8000046,1,BCVuniandes,1
76,braintumor,BRATS_L3,HSD,0.98889095,1,BCVuniandes,1
77,braintumor,BRATS_L1,DCS,0.224456114028507,1,BCVuniandes,1
77,braintumor,BRATS_L2,DCS,0.51804629266379,1,BCVuniandes,1
77,braintumor,BRATS_L3,DCS,0.73575993331481,1,BCVuniandes,1
77,braintumor,BRATS_L1,HSD,0.53396255,1,BCVuniandes,1
77,braintumor,BRATS_L2,HSD,0.80525523,1,BCVuniandes,1
77,braintumor,BRATS_L3,HSD,0.99620813,1,BCVuniandes,1
78,braintumor,BRATS_L1,DCS,0.565998781560956,1,BCVuniandes,1
78,braintumor,BRATS_L2,DCS,0.431232585078739,1,BCVuniandes,1
78,braintumor,BRATS_L1,HSD,0.9579083,1,BCVuniandes,1
78,braintumor,BRATS_L2,HSD,0.8028521,1,BCVuniandes,1
79,braintumor,BRATS_L1,DCS,0.715522852183974,1,BCVuniandes,1
79,braintumor,BRATS_L2,DCS,0.175814165338192,1,BCVuniandes,1
79,braintumor,BRATS_L3,DCS,0.74876233954881,1,BCVuniandes,1
